date,death,year,category
April_1,222,2015,2020 oncesi
April_2,212,2015,2020 oncesi
April_3,216,2015,2020 oncesi
April_4,206,2015,2020 oncesi
April_5,219,2015,2020 oncesi
April_6,213,2015,2020 oncesi
April_7,229,2015,2020 oncesi
April_8,198,2015,2020 oncesi
April_9,216,2015,2020 oncesi
April_10,208,2015,2020 oncesi
April_11,170,2015,2020 oncesi
April_12,218,2015,2020 oncesi
April_13,202,2015,2020 oncesi
April_14,219,2015,2020 oncesi
April_1,224,2016,2020 oncesi
April_2,171,2016,2020 oncesi
April_3,187,2016,2020 oncesi
April_4,217,2016,2020 oncesi
April_5,197,2016,2020 oncesi
April_6,190,2016,2020 oncesi
April_7,209,2016,2020 oncesi
April_8,215,2016,2020 oncesi
April_9,201,2016,2020 oncesi
April_10,191,2016,2020 oncesi
April_11,204,2016,2020 oncesi
April_12,192,2016,2020 oncesi
April_13,193,2016,2020 oncesi
April_14,216,2016,2020 oncesi
April_1,173,2017,2020 oncesi
April_2,231,2017,2020 oncesi
April_3,217,2017,2020 oncesi
April_4,210,2017,2020 oncesi
April_5,182,2017,2020 oncesi
April_6,209,2017,2020 oncesi
April_7,183,2017,2020 oncesi
April_8,212,2017,2020 oncesi
April_9,205,2017,2020 oncesi
April_10,243,2017,2020 oncesi
April_11,209,2017,2020 oncesi
April_12,213,2017,2020 oncesi
April_13,199,2017,2020 oncesi
April_14,226,2017,2020 oncesi
April_1,193,2018,2020 oncesi
April_2,248,2018,2020 oncesi
April_3,191,2018,2020 oncesi
April_4,213,2018,2020 oncesi
April_5,216,2018,2020 oncesi
April_6,210,2018,2020 oncesi
April_7,194,2018,2020 oncesi
April_8,200,2018,2020 oncesi
April_9,219,2018,2020 oncesi
April_10,220,2018,2020 oncesi
April_11,192,2018,2020 oncesi
April_12,223,2018,2020 oncesi
April_13,212,2018,2020 oncesi
April_14,197,2018,2020 oncesi
April_1,223,2019,2020 oncesi
April_2,198,2019,2020 oncesi
April_3,217,2019,2020 oncesi
April_4,202,2019,2020 oncesi
April_5,193,2019,2020 oncesi
April_6,191,2019,2020 oncesi
April_7,207,2019,2020 oncesi
April_8,205,2019,2020 oncesi
April_9,222,2019,2020 oncesi
April_10,196,2019,2020 oncesi
April_11,192,2019,2020 oncesi
April_12,202,2019,2020 oncesi
April_13,201,2019,2020 oncesi
April_14,198,2019,2020 oncesi
April_1,276,2020,2020 Korona Olumleri Cikartilmis
April_2,265,2020,2020 Korona Olumleri Cikartilmis
April_3,289,2020,2020 Korona Olumleri Cikartilmis
April_4,282,2020,2020 Korona Olumleri Cikartilmis
April_5,302,2020,2020 Korona Olumleri Cikartilmis
April_6,270,2020,2020 Korona Olumleri Cikartilmis
April_7,287,2020,2020 Korona Olumleri Cikartilmis
April_8,291,2020,2020 Korona Olumleri Cikartilmis
April_9,268,2020,2020 Korona Olumleri Cikartilmis
April_10,274,2020,2020 Korona Olumleri Cikartilmis
April_11,261,2020,2020 Korona Olumleri Cikartilmis
April_12,232,2020,2020 Korona Olumleri Cikartilmis
April_13,250,2020,2020 Korona Olumleri Cikartilmis
April_14,261,2020,2020 Korona Olumleri Cikartilmis
